"","CND1_1","CND1_2","CND1_3","CND1_4","CND2_1","CND2_2","CND2_3","CND2_4","CTRL_1","CTRL_2","CTRL_3"
"Speg",22,9,7,10,14,25,9,27,35,41,49
"Gmppa",1207,409,705,939,892,1243,708,1243,1612,1908,2317
"Asic4",1,0,0,3,3,0,0,0,5,6,2
"Chpf",567,218,394,580,464,884,458,662,1064,1016,1252
"Tmem198",87,26,48,102,53,96,56,99,137,132,162
"Obsl1",1,3,2,5,4,2,2,1,8,16,27
"Inha",2,1,1,0,3,1,0,0,0,0,0
"Stk11ip",1543,478,831,1248,1034,1211,742,1367,2573,2550,3857
"Slc4a3",0,0,0,0,0,0,2,0,2,8,0
"Epha4",0,0,0,0,0,0,3,0,6,12,2
"Pax3",10,14,10,6,50,66,17,96,8,6,101
"Sgpp2",297,189,308,319,544,594,542,608,1349,1072,1285
"Farsb",1641,971,1848,1861,1762,2494,1758,1793,3089,3851,3712
"Mogat1",8,4,3,3,4,10,9,7,23,8,11
"Acsl3",36,24,33,45,18,36,32,13,353,456,289
"Utp14b",11,6,9,25,26,25,9,12,158,206,178
"Ap1s3",1224,629,1180,1037,1162,1477,490,881,1010,1268,1015
"Wdfy1",1120,596,1048,1065,1007,941,688,1150,2684,3020,3663
"Gm10555",1,3,0,0,0,0,0,1,0,0,7
"Mrpl44",662,278,445,581,505,839,545,676,1257,1160,1304
"Serpine2",79,65,243,64,39,96,38,74,679,108,455
"Fam124b",0,1,0,0,0,0,0,0,3,2,2
"Cul3",5001,3065,5566,4767,4881,5440,2717,3797,6909,9804,9948
"Dock10",14298,7652,13180,12698,13043,14903,6454,9286,11721,20981,17848
"Irs1",0,0,0,0,1,0,0,0,3,4,0
"Gm19537",2,3,5,4,1,2,1,0,12,15,14
"Rhbdd1",1983,808,1493,1783,1792,2249,1090,1489,1379,2224,2983
"Gm19552",11,7,17,7,7,5,9,14,9,12,19
"Col4a4",3,0,9,2,3,6,0,2,2,2,16
"Col4a3",0,2,1,0,0,3,0,3,4,6,6
"Mff",1882,949,1781,1885,1912,2883,1857,2176,3333,3393,3265
"Tm4sf20",0,0,0,0,0,0,0,0,4,6,4
"Gm17764",7,6,9,12,25,20,5,14,7,13,1
"Agfg1",3382,1938,3519,2984,4002,4695,2237,3008,3287,4331,3701
"Slc19a3",0,0,0,0,0,0,0,0,0,2,0
"Pid1",5,4,7,5,2,4,6,2,152,76,89
"Trip12",14364,5179,9864,10226,8017,9982,5126,5947,7727,13073,8499
"Fbxo36",7,6,6,5,15,12,9,10,5,18,16
"Slc16a14",0,0,0,0,0,0,2,0,3,0,0
"Gm15433",262,167,253,304,150,203,109,157,164,307,283
"A530032D15Rik",52,26,28,45,42,52,19,47,549,123,206
"A530040E14Rik",276,184,270,259,238,370,166,298,1300,550,478
"Gm7609",629,244,442,650,461,504,265,425,524,712,738
"C130026I21Rik",97,60,68,99,95,108,50,80,547,155,349
"Gm2666",103,67,83,123,65,95,24,59,91,102,93
"Gm2427",66,15,42,70,61,54,26,61,309,111,144
"Sp110",15365,4561,8593,11521,7988,9126,5435,7980,7130,9444,7616
"Sp140",4037,1656,3036,3267,2512,3271,2563,2373,3705,3517,3223
"Gm10552",3,3,7,4,4,4,11,7,85,42,46
"Sp100",38162,9495,19025,23900,19269,22995,15152,17154,17142,25207,20152
"A630001G21Rik",1093,439,949,923,810,622,431,772,1895,1550,1100
"Cab39",8071,3153,6796,5605,5020,6354,3758,4320,4369,6957,4851
"Itm2c",4054,735,1305,2309,1603,2952,1565,2076,1917,2165,1449
"Gpr55",0,0,0,2,0,0,0,0,125,14,5
"Psmd1",3088,1520,2952,2348,1930,3065,1956,2325,2809,3162,2418
"Htr2b",12,2,0,3,2,7,0,2,7,9,5
"Armc9",84,14,27,58,20,31,5,40,100,81,67
"B3gnt7",4,0,0,0,0,0,0,1,63,4,3
"Ncl",22436,8318,15937,15066,12223,18059,12101,12052,19291,19398,18702
"Snora75",35,6,22,28,26,22,6,25,55,71,95
"Snord82",2,0,0,2,0,0,0,2,1,0,5
"C130036L24Rik",36,15,20,19,21,27,14,15,23,28,49
"Nmur1",1,0,1,1,0,1,0,2,0,0,0
"Ptma",20946,8713,21451,14050,13433,20254,10617,15384,28558,20991,23137
"Pde6d",405,161,175,282,261,396,270,286,542,425,372
"Cops7b",378,116,257,259,243,331,235,285,274,422,395
"Nppc",1,0,0,0,0,0,0,0,0,2,0
"Dis3l2",1192,261,594,726,651,795,549,611,566,785,777
"Ecel1",0,0,0,0,0,0,0,0,6,0,0
"Eif4e2",2997,884,1629,1871,1700,2341,1550,1849,2216,2411,2194
"Efhd1",4,0,0,1,0,1,1,0,0,0,6
"Gigyf2",3430,1018,1918,2160,2005,2249,1172,1624,2478,2874,2450
