"","term","gene"
"83","HALLMARK_APOPTOSIS","Gsn"
"84","HALLMARK_APOPTOSIS","Gsr"
"85","HALLMARK_APOPTOSIS","Gstm2"
"86","HALLMARK_APOPTOSIS","Gucy2e"
"87","HALLMARK_APOPTOSIS","H1f0"
"88","HALLMARK_APOPTOSIS","Hgf"
"89","HALLMARK_APOPTOSIS","Hmgb2"
"90","HALLMARK_APOPTOSIS","Hmox1"
"91","HALLMARK_APOPTOSIS","Hspb1"
"92","HALLMARK_APOPTOSIS","Ier3"
"93","HALLMARK_APOPTOSIS","Ifitm3"
"94","HALLMARK_APOPTOSIS","Ifnb1"
"95","HALLMARK_APOPTOSIS","Ifngr1"
"96","HALLMARK_APOPTOSIS","Igf2r"
"97","HALLMARK_APOPTOSIS","Igfbp6"
"98","HALLMARK_APOPTOSIS","Il18"
"99","HALLMARK_APOPTOSIS","Il1a"
"100","HALLMARK_APOPTOSIS","Il1b"
"101","HALLMARK_APOPTOSIS","Il6"
"102","HALLMARK_APOPTOSIS","Irf1"
"103","HALLMARK_APOPTOSIS","Isg20"
"104","HALLMARK_APOPTOSIS","Jun"
"105","HALLMARK_APOPTOSIS","Krt18"
"106","HALLMARK_APOPTOSIS","Lef1"
"107","HALLMARK_APOPTOSIS","Lgals3"
"108","HALLMARK_APOPTOSIS","Lmna"
"109","HALLMARK_APOPTOSIS","Lum"
"110","HALLMARK_APOPTOSIS","Madd"
"111","HALLMARK_APOPTOSIS","Mcl1"
"112","HALLMARK_APOPTOSIS","Mgmt"
"113","HALLMARK_APOPTOSIS","Mmp2"
"114","HALLMARK_APOPTOSIS","Nedd9"
"115","HALLMARK_APOPTOSIS","Nefh"
"116","HALLMARK_APOPTOSIS","Pak1"
"117","HALLMARK_APOPTOSIS","Pdcd4"
"118","HALLMARK_APOPTOSIS","Pdgfrb"
"119","HALLMARK_APOPTOSIS","Pea15a"
"120","HALLMARK_APOPTOSIS","Plat"
"121","HALLMARK_APOPTOSIS","Plcb2"
"122","HALLMARK_APOPTOSIS","Plppr4"
"123","HALLMARK_APOPTOSIS","Pmaip1"
"124","HALLMARK_APOPTOSIS","Ppp2r5b"
"125","HALLMARK_APOPTOSIS","Ppp3r1"
"126","HALLMARK_APOPTOSIS","Ppt1"
"127","HALLMARK_APOPTOSIS","Prf1"
"128","HALLMARK_APOPTOSIS","Psen1"
"129","HALLMARK_APOPTOSIS","Psen2"
"130","HALLMARK_APOPTOSIS","Ptk2"
"131","HALLMARK_APOPTOSIS","Rara"
"132","HALLMARK_APOPTOSIS","Rela"
"133","HALLMARK_APOPTOSIS","Retsat"
"134","HALLMARK_APOPTOSIS","Rhob"
"135","HALLMARK_APOPTOSIS","Rhot2"
"136","HALLMARK_APOPTOSIS","Rnasel"
"137","HALLMARK_APOPTOSIS","Rock1"
"138","HALLMARK_APOPTOSIS","Sat1"
"139","HALLMARK_APOPTOSIS","Satb1"
"140","HALLMARK_APOPTOSIS","Sc5d"
"141","HALLMARK_APOPTOSIS","Slc20a1"
"142","HALLMARK_APOPTOSIS","Smad7"
"143","HALLMARK_APOPTOSIS","Sod1"
"144","HALLMARK_APOPTOSIS","Sod2"
"145","HALLMARK_APOPTOSIS","Sptan1"
"146","HALLMARK_APOPTOSIS","Sqstm1"
"147","HALLMARK_APOPTOSIS","Tap1"
"148","HALLMARK_APOPTOSIS","Tgfb2"
"149","HALLMARK_APOPTOSIS","Tgfbr3"
"150","HALLMARK_APOPTOSIS","Timp1"
"151","HALLMARK_APOPTOSIS","Timp2"
"152","HALLMARK_APOPTOSIS","Timp3"
"153","HALLMARK_APOPTOSIS","Tnf"
"154","HALLMARK_APOPTOSIS","Tnfrsf12a"
"155","HALLMARK_APOPTOSIS","Tnfsf10"
"156","HALLMARK_APOPTOSIS","Top2a"
"157","HALLMARK_APOPTOSIS","Tspo"
"158","HALLMARK_APOPTOSIS","Txnip"
"159","HALLMARK_APOPTOSIS","Vdac2"
"160","HALLMARK_APOPTOSIS","Wee1"
"161","HALLMARK_APOPTOSIS","Xiap"
